800	0	0
799.999373436605	-1.00124973860557	0
799.99452863026	-2.95874325482392	0.23
799.985100792341	-4.88246968938679	0.72
799.972090283377	-6.68242228870204	1.43
799.956097056835	-8.38109668212974	2.36
799.938465784956	-9.9222455931751	3.46
799.919947706207	-11.3171225008837	4.7
799.899711122801	-12.666970658346	6
799.878376519348	-13.9492930563534	7.34
799.855414292924	-15.2090836770405	8.69
799.830930795262	-16.4463413312811	10.07
799.804782040697	-17.6723123793581	11.45
799.777285330574	-18.8757481774137	12.84
799.748260141307	-20.0678947812653	14.25
799.718055562529	-21.2375047330976	15.67
799.686455482449	-22.395823671341	17.1
799.653508833919	-23.5428504986599	18.54
799.619264074895	-24.678584244721	19.97
799.583406254118	-25.8142682069887	21.42
799.545935443924	-26.9499000944619	22.86
799.506851719901	-28.0854776162451	24.3
799.466566002136	-29.2097559858563	25.74
799.423845848997	-30.3564603997113	27.18
799.379480936226	-31.5031023572348	28.62
799.3334713551	-32.64967949929	30.05
799.28581720028	-33.7961894668729	31.48
799.235535492242	-34.96510841438	32.91
799.183544294627	-36.1339525748115	34.33
799.129319070131	-37.3139572078583	35.74
799.072810155584	-38.5051174528564	37.15
799.014525731235	-39.6961921409282	38.54
798.953315658699	-40.9096492037305	39.93
798.889670285703	-42.1342462944443	41.32
798.823538099154	-43.3699778504616	42.69
798.75486712493	-44.6168381245812	44.06
798.684249964197	-45.863589688642	45.42
798.610361497953	-47.1326904399579	46.78
798.534456445434	-48.4016721756171	48.13
798.455836427508	-49.6817599814012	49.47
798.374447642594	-50.9729472503141	50.8
798.290970873107	-52.264001209941	52.13
798.203899789584	-53.5773679896641	53.45
798.11466792611	-54.8905897326332	54.76
798.022485081323	-56.2148850806425	56.07
797.928104861866	-57.5390256395739	57.37
797.830699687682	-58.8742272634089	58.67
797.730213502808	-60.2204821033859	59.95
797.626589798351	-61.5777820861788	61.24
797.520656714268	-62.9349037819421	62.51
797.412414557269	-64.2918432613821	63.79
797.300016958631	-65.67102068468	65.05
797.185233983369	-67.0500016322295	66.31
797.068065974893	-68.4287819783704	67.57
796.947531538984	-69.818564679608	68.81
796.823572410782	-71.2193404246275	70.06
796.697151174245	-72.6198961087229	71.29
796.567227231793	-74.0314291382642	72.53
796.434802434513	-75.442729743158	73.75
796.298796362952	-76.8649914519932	74.97
796.160250439121	-78.287007994411	76.19
796.018044121568	-79.7199688464151	77.4
795.873258706249	-81.1526714057898	78.61
795.725894662268	-82.5851110305802	79.81
795.573589166342	-84.0396586201138	81.01
795.419827011266	-85.4827397628748	82.2
795.26222480221	-86.9367229807999	83.38
795.100721726082	-88.4015967653517	84.56
794.936520353349	-89.8661705454865	85.74
794.769621241252	-91.3304393509478	86.91
794.598719956398	-92.8055722661896	88.08
794.425080752076	-94.2803854046981	89.24
794.248704226589	-95.754873684764	90.4
794.068223625893	-97.2401986198068	91.55
793.883576919302	-98.7363473996021	92.7
793.69752067292	-100.220984218177	93.85
793.50725770995	-101.716429162821	94.99
793.312725617039	-103.222668896252	96.12
793.115334374404	-104.728536608592	97.26
792.915084693457	-106.234026872599	98.38
792.71197729591	-107.739134262389	99.51
792.504476593727	-109.254997958463	100.63
792.294077183475	-110.770462037433	101.74
792.080779834723	-112.285520956254	102.85
791.862984934463	-113.811304757841	103.96
791.642250922355	-115.336666132618	105.07
791.416935173189	-116.872728731198	106.17
791.190303967895	-118.397225082309	107.26
790.957363048616	-119.943527708587	108.35
790.723108403968	-121.478252522695	109.44
790.48414593523	-123.023636042229	110.52
790.242163183081	-124.568549512807	111.6
789.995387530098	-126.124096354229	112.67
789.745549874497	-127.679154341767	113.74
789.492651184643	-129.233717448056	114.8
789.234853159577	-130.798878275701	115.85
788.972090782783	-132.374619794901	116.9
788.708065964666	-133.938742275253	117.94
788.437128990893	-135.524513017381	118.98
788.164931708962	-137.098652160435	120.01
787.885691144217	-138.694403961372	121.03
787.603219756813	-140.289587028764	122.04
787.317518705061	-141.884194821364	123.05
787.026571420212	-143.489288375634	124.05
786.732351856403	-145.093785333809	125.05
786.434861236931	-146.697679024753	126.04
786.129929523196	-148.323072742764	127.01
785.823747033501	-149.936782005713	127.99
785.509989394164	-151.571951765425	128.95
785.194983628035	-153.195423186762	129.91
784.874445308412	-154.829277276016	130.66
784.548306895715	-156.473493432809	131.8
784.218724054801	-158.117022618882	132.74
783.885698232649	-159.759857618594	133.67
783.546961098375	-161.413009864452	134.6
783.204737602268	-163.065443909379	135.52
782.856712854675	-164.728161339746	136.43
782.505158217811	-166.390136013284	137.33
782.15007527683	-168.051360436174	138.23
781.789078982927	-169.722821043685	139.12
781.424510769375	-171.393506203833	140.01
781.056372301851	-173.063408283417	140.89
780.682208009095	-174.743498013643	141.77
780.306910635286	-176.41180576939	142.65
779.925543796334	-178.090275237009	143.52
779.540566510919	-179.767920285671	144.4
779.151980561187	-181.444733149187	145.26
778.759787745987	-183.120706065224	146.13
778.363989880864	-184.795831275334	147
777.964588798056	-186.470101024997	147.87
777.561586346476	-188.143507563649	148.74
777.154984391711	-189.816043144725	149.61
776.744784816011	-191.48770002569	150.48
776.330989518281	-193.158470468079	151.35
775.913600414068	-194.828346737528	152.22
775.492619435559	-196.497321103813	153.1
775.07083515567	-198.15448642686	153.97
774.64269973593	-199.821639833703	154.85
774.213811671767	-201.476980860528	155.73
773.778529686788	-203.142282638926	156.61
773.342545728189	-204.795768917828	157.49
772.90012518543	-206.459188432842	158.37
772.457053352768	-208.110789546239	159.26
772.010452237592	-209.761439821311	160.13
771.557350835049	-211.421981762545	161.01
771.103674107227	-213.070701360689	161.89
770.643454725984	-214.729284653958	162.77
770.179667867106	-216.386873918256	163.64
769.715381837633	-218.032637379239	164.52
769.244489762517	-219.688222192282	165.4
768.773149242852	-221.331979169816	166.27
768.295160614042	-222.985529075417	167.15
767.816774274978	-224.627249330902	168.03
767.331697885568	-226.278733910309	168.92
766.846274527514	-227.918387242611	169.8
766.512123899001	-229.039655771317	170.38
766.315368827381	-229.697095103434	170.81
766.131006089568	-230.311270910015	171.29
765.965632706359	-230.860671212632	171.82
765.816134461977	-231.356106895227	172.4
765.685875504209	-231.786841846887	173.03
765.574964905433	-232.152908898521	173.69
765.49003282835	-232.432806721538	174.39
765.424630826593	-232.648091597533	175.1
765.382087057182	-232.78801689948	175.84
765.365717257791	-232.841832251997	176.58
765.375539591493	-232.809543178606	177.32
765.408270865595	-232.701909941756	178.06
765.463879293533	-232.518922879185	178.78
765.542310832955	-232.260565582149	179.46
765.643489177652	-231.926814922018	180.16
765.767315746188	-231.51764108784	180.8
765.910420689869	-231.043778273012	181.4
765.988354342564	-230.785270352271	181.68

